460	Vascular	0	0	27	27	30	30
1582	Vascular	0	0	27	27	149	149	
460	Vascular	0	0	28	28	29	29	
91	Vascular	0	0	28	28	32	32	
652	Vascular	0	0	28	28	88	88	
652	Vascular	0	0	28	28	89	89	
652	Vascular	0	0	28	28	91	91	
91	Vascular	0	0	29	29	29	29	
91	Vascular	0	0	29	29	30	30	
91	Vascular	0	0	29	29	31	31	
652	Vascular	0	0	29	29	89	89	
652	Vascular	0	0	29	29	90	90	
652	Vascular	0	0	29	29	91	91	
652	Vascular	0	0	29	29	93	93	
1213	Vascular	0	0	29	29	148	148	
1213	Vascular	0	0	29	29	149	149	
1213	Vascular	0	0	29	29	150	150	
1582	Vascular	0	0	29	29	151	151	
91	Vascular	0	0	30	30	28	28	
91	Vascular	0	0	30	30	29	29	
91	Vascular	0	0	30	30	30	30	
91	Vascular	0	0	30	30	31	31	
91	Vascular	0	0	30	30	32	32	
1021	Vascular	0	0	30	30	88	88	
652	Vascular	0	0	30	30	89	89	
1021	Vascular	0	0	30	30	90	90	
652	Vascular	0	0	30	30	92	92	
1582	Vascular	0	0	30	30	149	149	
1213	Vascular	0	0	30	30	150	150	
1213	Vascular	0	0	30	30	151	151	
91	Vascular	0	0	31	31	29	29	
460	Vascular	0	0	31	31	30	30	
91	Vascular	0	0	31	31	31	31	
91	Vascular	0	0	31	31	32	32	
652	Vascular	0	0	31	31	89	89	
652	Vascular	0	0	31	31	90	90	
652	Vascular	0	0	31	31	91	91	
1582	Vascular	0	0	31	31	148	148	
1213	Vascular	0	0	31	31	149	149	
1213	Vascular	0	0	31	31	150	150	
1213	Vascular	0	0	31	31	151	151	
91	Vascular	0	0	32	32	29	29	
460	Vascular	0	0	32	32	31	31	
460	Vascular	0	0	32	32	32	32	
1021	Vascular	0	0	32	32	90	90	
92	Vascular	0	0	87	87	28	28	
92	Vascular	0	0	88	88	28	28	
92	Vascular	0	0	88	88	31	31	
92	Vascular	0	0	88	88	32	32	
1583	Vascular	0	0	88	88	152	152	
92	Vascular	0	0	89	89	29	29	
461	Vascular	0	0	89	89	30	30	
92	Vascular	0	0	89	89	31	31	
92	Vascular	0	0	89	89	32	32	
653	Vascular	0	0	89	89	89	89	
653	Vascular	0	0	89	89	90	90	
653	Vascular	0	0	89	89	91	91	
1214	Vascular	0	0	89	89	149	149	
1214	Vascular	0	0	89	89	150	150	
1214	Vascular	0	0	89	89	151	151	
92	Vascular	0	0	90	90	30	30	
92	Vascular	0	0	90	90	31	31	
653	Vascular	0	0	90	90	89	89	
1022	Vascular	0	0	90	90	90	90	
1022	Vascular	0	0	90	90	91	91	
653	Vascular	0	0	90	90	92	92	
1583	Vascular	0	0	90	90	148	148	
1214	Vascular	0	0	90	90	149	149	
1583	Vascular	0	0	90	90	150	150	
1214	Vascular	0	0	90	90	151	151	
92	Vascular	0	0	91	91	29	29	
461	Vascular	0	0	91	91	30	30	
92	Vascular	0	0	91	91	31	31	
653	Vascular	0	0	91	91	89	89	
653	Vascular	0	0	91	91	90	90	
653	Vascular	0	0	91	91	91	91	
653	Vascular	0	0	91	91	92	92	
1214	Vascular	0	0	91	91	149	149	
1214	Vascular	0	0	91	91	150	150	
1214	Vascular	0	0	91	91	151	151	
653	Vascular	0	0	92	92	89	89	
1022	Vascular	0	0	92	92	90	90	
1022	Vascular	0	0	92	92	91	91	
653	Vascular	0	0	92	92	93	93	
1214	Vascular	0	0	92	92	149	149	
92	Vascular	0	0	93	93	31	31	
92	Vascular	0	0	94	94	30	30	
654	Vascular	0	0	148	148	88	88	
654	Vascular	0	0	148	148	89	89	
1023	Vascular	0	0	148	148	90	90	
1215	Vascular	0	0	148	148	151	151	
93	Vascular	0	0	149	149	28	28	
93	Vascular	0	0	149	149	29	29	
93	Vascular	0	0	149	149	30	30	
93	Vascular	0	0	149	149	31	31	
93	Vascular	0	0	149	149	32	32	
93	Vascular	0	0	149	149	33	33	
1023	Vascular	0	0	149	149	89	89	
654	Vascular	0	0	149	149	90	90	
654	Vascular	0	0	149	149	91	91	
654	Vascular	0	0	149	149	92	92	
1215	Vascular	0	0	149	149	149	149	
