	BB	GG	MM	MB	MG	BG
0	    -30.0  	  -10.0  	 30.0  	  -10.0  	   0.0  	    10.0  
0	-1.4631172627	18.5368827373	30.0	-10.0	0.0	10.0
1	-1.74706399336	18.2529360066	30.0	-10.0	0.0	10.0
2	-2.02216939611	17.9657993378	30.0	-10.0	0.0	10.0
3	-2.28859009329	17.6755776071	30.0	-10.0	0.0	10.0
4	-2.54647884378	17.3823767052	30.0	-10.0	0.0	10.0
5	-2.79598463757	17.0863034509	30.0	-10.0	0.0	10.0
6	-3.03725278851	16.7874655026	30.0	-10.0	0.0	10.0
7	-3.2704250253	16.4859712712	30.0	-10.0	0.0	10.0
8	-3.49563958076	16.1819298317	30.0	-10.0	0.0	10.0
9	-3.71303127963	15.8754508354	30.0	-10.0	0.0	10.0
10	-3.92273162437	15.5666444225	30.0	-10.0	0.0	10.0
11	-4.12486887944	15.2556211339	30.0	-10.0	0.0	10.0
12	-4.319568154	14.9424918242	30.0	-10.0	0.0	10.0
13	-4.50695148391	14.6273675753	30.0	-10.0	0.0	10.0
14	-4.68713790973	14.3103596096	30.0	-10.0	0.0	10.0
15	-4.86024355636	13.9915792047	30.0	-10.0	0.0	10.0
16	-5.02638170882	13.6711376086	30.0	-10.0	0.0	10.0
17	-5.18566288812	13.349145956	30.0	-10.0	0.0	10.0
18	-5.3381949251	13.0257151851	30.0	-10.0	0.0	10.0
19	-5.48408303302	12.700955956	30.0	-10.0	0.0	10.0
20	-5.62342987887	12.3749785699	30.0	-10.0	0.0	10.0
21	-5.75633565337	12.0478928901	30.0	-10.0	0.0	10.0
22	-5.88289813971	11.7198082634	30.0	-10.0	0.0	10.0
23	-6.00321278105	11.3908334441	30.0	-10.0	0.0	10.0
24	-6.1173727469	11.0610765187	30.0	-10.0	0.0	10.0
25	-6.22546899832	10.7306448327	30.0	-10.0	0.0	10.0
26	-6.32759035203	10.3996449187	30.0	-10.0	0.0	10.0
27	-6.4238235433	10.0681824266	30.0	-10.0	0.0	10.0
28	-6.51425328792	9.73636205532	30.0	-10.0	0.0	10.0
29	-6.59896234323	9.40428748699	30.0	-10.0	0.0	10.0
30	-6.67803156776	9.07206132219	30.0	-10.0	0.0	10.0
31	-6.75153997995	8.73978501795	30.0	-10.0	0.0	10.0
